n_control,m_treated,estimator,mean,sd_empirical,se_analytic,sd_ratio_vs_reference
10,200,Reference,46.20397500000001,45.28123871288561,42.32745666034092,1.0
10,200,PPI,55.00771611006438,34.364783074680304,35.234101274172524,0.7589187939971521
10,200,PPCT,53.95702452436356,36.54656181633598,32.228060862355655,0.8071016353608715
10,200,PPCT2,54.01805407173308,34.453250325786264,34.67681730298789,0.760872522596913
10,200,ANCOVA,53.338937062007936,36.08524725469191,31.07324148465714,0.7969138716256714
20,200,Reference,44.479749999999996,29.94273700922322,31.79564774040894,1.0
20,200,PPI,52.87528152122619,24.14524658846667,25.25227660490347,0.806380745388414
20,200,PPCT,52.1636466669527,24.44124967269228,24.301193452659792,0.8162663842374756
20,200,PPCT2,52.016910291630474,24.075501933113717,25.002235245074782,0.8040514775151575
20,200,ANCOVA,51.923880739189514,24.465832512511643,23.79467262513849,0.8170873793192475
40,200,Reference,45.218983333333334,22.622973860514996,23.65969480226104,1.0
40,200,PPI,54.56211137161123,16.69134749512411,18.846486377094546,0.7378051885679076
40,200,PPCT,53.53060574889996,16.91053172066344,18.522902158790117,0.7474937567858058
40,200,PPCT2,53.56976322988525,16.746287668502358,18.698230413515407,0.7402337010047334
40,200,ANCOVA,53.5414380302973,16.773475303963437,18.262854102109735,0.7414354720728834
80,200,Reference,45.32686666666667,15.450159823088795,18.379915463691564,1.0
80,200,PPI,55.152037659969814,11.845657641513908,14.598474843365087,0.7667013012908578
80,200,PPCT,54.03780476638562,11.776909281896435,14.479671183843488,0.7622516153067209
80,200,PPCT2,54.193172832575414,11.875747870669818,14.505799836722412,0.7686488687918064
80,200,ANCOVA,54.13431925944893,11.771647929981897,14.33568671757778,0.7619110782524262
120,200,Reference,45.91135833333334,13.105063657714735,16.153931095602122,1.0
120,200,PPI,54.62734445081269,10.18007054168559,12.885768341124821,0.7768043565124347
120,200,PPCT,53.64866002541384,10.205500028251237,12.804840163267254,0.7787447886407959
120,200,PPCT2,53.73756300447822,10.270148329622126,12.81125878237821,0.7836778666524262
120,200,ANCOVA,53.72656278634092,10.198279414286883,12.731942904510815,0.7781938097098311
200,200,Reference,45.379841666666664,9.980948907046482,14.192812338327112,1.0
200,200,PPI,54.736379195508476,8.182103350841375,11.3187572107934,0.8197720905138454
200,200,PPCT,53.80019265414333,8.218874037380408,11.270763235110147,0.8234561777565997
200,200,PPCT2,53.789206083825434,8.218859773887107,11.270787906594462,0.8234547486847316
200,200,ANCOVA,53.817734438579244,8.219210634584105,11.283434965916022,0.8234899017248147
