n_control,m_treated,estimator,mean,sd_empirical,se_analytic,sd_ratio_vs_reference
25,300,Reference,-3.016811111111111,3.622867736185797,3.446920759423257,1.0
25,300,PPI,0.5978762275525321,2.9021495991656248,2.818748409839302,0.8010641874055955
25,300,PPCT,0.956316101099719,3.0068377498641943,2.74470899390107,0.8299606744765772
25,300,PPCT2,0.40951299228899385,2.9159528003602775,2.817625954184844,0.8048742081404913
25,300,ANCOVA,0.5393485502580283,2.876268946480373,2.6892597116072583,0.7939204950133086
50,300,Reference,-2.817472222222222,2.2722616875582777,2.5327313663157596,1.0
50,300,PPI,0.8104015076805164,1.843877282153941,2.0603776200315087,0.8114722403013936
50,300,PPCT,1.0563672420066046,1.885223331263037,2.0376720996643862,0.8296682294937853
50,300,PPCT2,0.6276739355912326,1.8566868298668575,2.0599901246400476,0.817109596149558
50,300,ANCOVA,0.7480589544685347,1.8286224329667853,1.9898759735522404,0.8047587313465565
100,300,Reference,-2.7774666666666668,1.7499340499007499,1.905411911351904,1.0
100,300,PPI,0.7979490778457804,1.438663523666558,1.5555377537832504,0.8221244244879707
100,300,PPCT,0.9081038774396891,1.4319729702586403,1.5492334097277538,0.8183011070273516
100,300,PPCT2,0.6049363105263683,1.4673397006435591,1.5551078136373997,0.8385114288888667
100,300,ANCOVA,0.7493483715806106,1.4227235229797415,1.5269071595695853,0.8130155093904444
200,300,Reference,-2.827922222222222,1.3093069731791158,1.4897141525710293,1.0
200,300,PPI,0.7556228500419123,1.0423118984176982,1.2197795738794077,0.7960790859357226
200,300,PPCT,0.7087432340684396,1.0511084136597721,1.218285836378678,0.8027975373166965
200,300,PPCT2,0.5562175678024427,1.0747147841467484,1.2190166202457098,0.8208272056607502
200,300,ANCOVA,0.6902915068667467,1.0522888554818612,1.2240182645469337,0.8036991149041303
300,300,Reference,-2.870166666666666,1.0653767285491087,1.3213417890168542,1.0
300,300,PPI,0.6862388600386699,0.8794177673669853,1.0843147037022864,0.8254523905028666
300,300,PPCT,0.561842615052483,0.9024483678203911,1.0832280880033218,0.847069720632435
300,300,PPCT2,0.510623074379846,0.9002288072065263,1.0832914450015572,0.8449863631173075
300,300,ANCOVA,0.63235068296272,0.9060154331954342,1.1114225034756555,0.850417893423764
600,300,Reference,-2.8643638888888887,0.8229368101500679,1.1291733538504873,1.0
600,300,PPI,0.6996010755707298,0.6805278149313555,0.9330284526654615,0.8269502670651673
600,300,PPCT,0.41803777029313105,0.7401067778665885,0.9308175441531292,0.8993482473236617
600,300,PPCT2,0.5472222426848884,0.7002409609581641,0.9313958570727457,0.8509048961249778
600,300,ANCOVA,0.6178024289100499,0.7425578488199209,0.9983141248319983,0.902326691018367
