rho,estimator,power
0.0,Reference,0.5565
0.0,PPI,0.338
0.0,PPCT,0.566
0.0,PPCT2,0.565
0.0,ANCOVA,0.5655
0.08636363636363636,Reference,0.5565
0.08636363636363636,PPI,0.053
0.08636363636363636,PPCT,0.56
0.08636363636363636,PPCT2,0.561
0.08636363636363636,ANCOVA,0.564
0.17272727272727273,Reference,0.5445
0.17272727272727273,PPI,0.0555
0.17272727272727273,PPCT,0.563
0.17272727272727273,PPCT2,0.5645
0.17272727272727273,ANCOVA,0.5705
0.2590909090909091,Reference,0.577
0.2590909090909091,PPI,0.0825
0.2590909090909091,PPCT,0.599
0.2590909090909091,PPCT2,0.599
0.2590909090909091,ANCOVA,0.604
0.34545454545454546,Reference,0.5685
0.34545454545454546,PPI,0.1175
0.34545454545454546,PPCT,0.614
0.34545454545454546,PPCT2,0.615
0.34545454545454546,ANCOVA,0.618
0.4318181818181818,Reference,0.566
0.4318181818181818,PPI,0.185
0.4318181818181818,PPCT,0.657
0.4318181818181818,PPCT2,0.656
0.4318181818181818,ANCOVA,0.6615
0.5181818181818182,Reference,0.5655
0.5181818181818182,PPI,0.2455
0.5181818181818182,PPCT,0.6935
0.5181818181818182,PPCT2,0.6945
0.5181818181818182,ANCOVA,0.698
0.6045454545454545,Reference,0.57
0.6045454545454545,PPI,0.3835
0.6045454545454545,PPCT,0.764
0.6045454545454545,PPCT2,0.765
0.6045454545454545,ANCOVA,0.766
0.6909090909090909,Reference,0.5685
0.6909090909090909,PPI,0.524
0.6909090909090909,PPCT,0.838
0.6909090909090909,PPCT2,0.838
0.6909090909090909,ANCOVA,0.839
0.7772727272727273,Reference,0.5675
0.7772727272727273,PPI,0.7535
0.7772727272727273,PPCT,0.92
0.7772727272727273,PPCT2,0.92
0.7772727272727273,ANCOVA,0.922
0.8636363636363636,Reference,0.576
0.8636363636363636,PPI,0.955
0.8636363636363636,PPCT,0.99
0.8636363636363636,PPCT2,0.99
0.8636363636363636,ANCOVA,0.99
0.95,Reference,0.5515
0.95,PPI,1.0
0.95,PPCT,1.0
0.95,PPCT2,1.0
0.95,ANCOVA,1.0
