n,estimator,mean,sd
2,Reference,0.9669049832902812,0.7140959776318208
2,PPI,1.0141988289619654,0.3525146897721619
2,PPCT,0.9676388734529128,0.7030157172596954
2,PPCT2,1.0036202718967744,0.32162083334716535
2,ANCOVA,1.158082464657949,8.631883202897251
5,Reference,1.0058736427011001,0.44846588410735505
5,PPI,1.0121858942368593,0.22129124891329438
5,PPCT,1.0126438166128235,0.2511808651308521
5,PPCT2,1.010780838218453,0.20020642130234503
5,ANCOVA,1.0131413837489918,0.23786294472697422
10,Reference,1.0040375032916333,0.32931889305934986
10,PPI,1.00041661225632,0.15705386913038022
10,PPCT,1.0005118497760155,0.16092381540411316
10,PPCT2,1.0011978699335478,0.1441661693497993
10,ANCOVA,1.0019328820180304,0.15117163825374538
20,Reference,0.9994623738830894,0.24259157932295783
20,PPI,1.0005662497633248,0.11713367907097812
20,PPCT,1.0009628526340852,0.11052853837059264
20,PPCT2,1.0004256277043808,0.10514768714958135
20,ANCOVA,1.0007118683652045,0.10696773560433238
50,Reference,1.0006801533277736,0.1725978757693693
50,PPI,0.9984575504025136,0.08635720548081964
50,PPCT,0.9988659847373592,0.0776583223503522
50,PPCT2,0.9988623164898239,0.07709038670283688
50,ANCOVA,0.9987346684762354,0.07727465674893674
100,Reference,0.9974077616798639,0.1418925073107934
100,PPI,1.0008599457239582,0.06776338194291057
100,PPCT,1.0002376748442952,0.06234124945007364
100,PPCT2,1.000207196154402,0.062365237259019476
100,ANCOVA,1.0002748689576975,0.062311148587084614
